Time,Speed,Location,County,State,Lat,Lon,Comments
1222,UNK,3 SE Blanchard,Caddo,LA,32.56,-93.85,Trees down near Shreveport Blanchard Road and North Industry Road near Blanchard Louisiana. (SHV)
2135,UNK,7 WSW Coldspring,San Jacinto,TX,30.56,-95.24,Multiple trees down in and around Highway 150. (HGX)
2155,UNK,11 SW Coldspring,San Jacinto,TX,30.49,-95.28,Trees and power lines downed all across the FM 1725 and FM 945 areas. (HGX)
2315,UNK,8 ENE Crawford,McLennan,TX,31.6,-97.32,Delayed Report. Trees were uprooted and snapped in half. Several other trees were downed west of Lake Waco. (FWD)
2345,UNK,Honey Grove,Fannin,TX,33.58,-95.91,The metal roof was taken off a city storage barn. Winds are estimated to be around 60 mph. (FWD)
2348,59,4 NW Waco,McLennan,TX,31.61,-97.22,KACT 24036G52KT. (FWD)
2355,UNK,Commerce,Hunt,TX,33.24,-95.9,Trees and tree limbs down in Commerce. Some stop signs and power lines were also knocked down. (FWD)
0017,59,2 E Key West,Monroe,FL,24.56,-81.75,A southwesterly wind gust of 51 kts... or 59 mph... was recorded by the Key West International Airport ASOS at 8:17 PM EDT. (KEY)
0025,UNK,3 SW Palestine,Anderson,TX,31.73,-95.69,Delayed Report. Roof of a barn damaged. (FWD)
0028,UNK,1 WNW Waxahachie,Ellis,TX,32.41,-96.87,Report from mPING: 3-inch tree limbs broken; Power poles broken. (FWD)
0036,UNK,6 S Ladonia,Hunt,TX,33.34,-95.93,Power lines down between Commerce and Ladonia on State Highway 50. (FWD)
0100,UNK,2 NE Point,Rains,TX,32.95,-95.84,Trees and tree limbs were down on FM 514 and needed to cleared off the roadway. (FWD)
0110,UNK,4 NNE Rogers,Bell,TX,30.98,-97.19,Delayed Report. Metal roof damaged in Zabcikville... TX. (FWD)
0115,UNK,Emory,Rains,TX,32.88,-95.77,Emory fire station reporting flagpoles bowing over... small limbs blowing across parking lot... bay doors of fire station bowing in. (FWD)
0120,UNK,4 NNW Rogers,Bell,TX,30.98,-97.25,Delayed Report. Outdoor shed was completely taken away. 5th wheel camper was lifted and thrown onto garage. Second 5th wheel camper was moved with damage. (FWD)
0125,UNK,1 NW Emory,Rains,TX,32.88,-95.78,Power lines down and major tree damage on the NW side of Emory... TX on HWY 69. (FWD)
0126,UNK,Emory,Rains,TX,32.87,-95.77,Report from mPING: Trees uprooted or snapped; Roof blown off. (FWD)
0134,65,1 SSE Rogers,Bell,TX,30.93,-97.23,Report by Texas Water Development Board automated site. (FWD)
0138,59,1 S Northfield,Motley,TX,34.27,-100.6,(LUB)
0150,UNK,1 SE Alba,Wood,TX,32.78,-95.62,several trees down. (SHV)
0209,UNK,2 SSW ROUND ROCK,WILLIAMSON,TX,30.49,-97.69,TIME ESTIMATED VIA RADAR. PUBLIC SUBMITTED A REPORT OF A LARGE TREE DOWN IN ROUND ROCK OFF CHISHOLM VALLEY DRIVE. (EWX)
0214,60,6 NNW COMFORT,KERR,TX,30.05,-98.93,PERSONAL WEATHER STATION JUST WEST OF THE KERR/KENDALL COUNTY LINE MEASURED A 60 MPH WIND GUST YESTERDAY EVENING. (EWX)
0220,UNK,4 N Rogers,Bell,TX,30.99,-97.23,Delayed Report. Damage to the roof of a store building in Seaton... TX. (FWD)
0223,UNK,3 S JOLLYVILLE,TRAVIS,TX,30.41,-97.75,SEVERAL LARGE 4 TO 5 INCH LIMBS WERE BLOWN DOWN ON FLORAL PARK DRIVE JUST WEST OF JOLLYVILLE ROAD. TREES LIMBS BLOCKING SIDEWALK AND BIKE LANES. (EWX)
0224,58,10 SW Paducah,Cottle,TX,33.89,-100.4,(LUB)
0226,62,10 SW Paducah,Cottle,TX,33.89,-100.4,(LUB)
0230,UNK,3 W Lindale,Smith,TX,32.51,-95.45,Several trees down near HWY110 and FM16. (SHV)
0241,62,5 SSE Islamorada,GMZ052,FL,24.85,-80.62,An easterly wind gust of 54 kts... or 62 mph... was recorded by the WeatherFlow mesonet site at Alligator Reef Light at 10:46 PM EDT. (KEY)
0250,UNK,Whitehouse,Smith,TX,32.23,-95.22,6 inch diameter tree blown down. (SHV)
0305,UNK,Red Chute,Bossier,LA,32.57,-93.62,Multiple trees were blown down in the Dogwood South subdivision just northeast of Bossier City. Some trees were downed onto homes. (SHV)
0335,UNK,3 N Tyler,Smith,TX,32.37,-95.3,numerous trees down across the city of Tyler and Smith county. (SHV)
0400,UNK,1 ENE Jacksonville,Cherokee,TX,31.97,-95.24,Numerous trees and power lines were downed across Northern Cherokee County... including along Highway 79 between Highways 204 and 110. A tree fell onto a home in Jackso (SHV)
