time,lat,lon,alt,reducedChi2,PdBW,mask
75600.181844176,30.71469962,-95.19103478,8924.01,4.65,9.0,0x3a28
75600.188584744,30.71940614,-95.18759098,10528.86,0.05,14.2,0x3e28
75600.205287406,30.71737822,-95.19048907,10358.17,0.17,5.4,0x3e28
75600.206066251,30.71975428,-95.19166179,10472.35,0.32,8.8,0x3e28
75600.210246337,30.71398906,-95.19147628,10545.99,0.15,2.9,0x3e28
75600.213720596,30.70960792,-95.19210912,10709.18,0.04,11.6,0x3a28
75600.215795756,30.70432862,-95.19408302,10690.61,0.37,8.3,0x3e28
75600.216044944,30.70887942,-95.19412119,10573.29,0.0,7.2,0x3a28
75600.221638738,30.70701137,-95.18987331,11061.31,0.24,10.7,0x3e28
75600.222337851,30.78642387,-95.18151919,12980.02,0.8,8.8,0x2e28
75600.223171188,30.70497176,-95.19019165,11077.08,0.03,12.2,0x3e28
75600.223324478,30.70194866,-95.19574483,10974.84,0.38,4.8,0x3e28
75600.224021809,30.70589148,-95.19067723,10976.52,0.09,12.3,0x2e28
75600.224531129,30.70384936,-95.18994886,11028.44,0.05,8.3,0x3e28
75600.225389346,30.68449118,-95.1957542,10889.79,1.27,17.6,0x2e28
75600.225575518,30.70443977,-95.19118362,11171.3,0.22,6.8,0x3e28
75600.226204252,30.70834763,-95.19037806,10914.14,0.53,9.5,0x3fa8
75600.228255184,30.93768873,-95.19043448,16985.15,3.34,1.7,0x32a8
75600.228821481,30.70109409,-95.18528176,10809.84,0.6,2.9,0x3e28
75600.259771253,30.7071307,-95.19045637,10878.4,0.08,8.3,0x3e28
75600.303589626,30.72193905,-95.16126914,13111.73,1.96,6.2,0x2ba0
75600.312072353,30.72454789,-95.18451684,10602.83,0.11,12.2,0x2e28
75600.315610353,30.71970311,-95.182444,10879.09,0.27,7.4,0x3e28
75600.315941318,30.72391807,-95.1837385,10871.44,0.15,7.9,0x3e28
75600.31629759,30.70029648,-95.18125902,11183.04,0.07,6.8,0x3e28
75600.316531932,30.7286536,-95.18231396,10717.56,0.22,11.3,0x3e28
75600.317114659,30.7042319,-95.18073812,11291.68,0.05,10.7,0x3e28
75600.317296364,30.70443086,-95.18194373,11209.59,0.13,7.2,0x2e28
75600.317387052,30.69688957,-95.18349502,11638.57,0.2,15.4,0x2e28
75600.31873641,30.70075612,-95.18225817,11059.49,0.31,0.6,0x3e20
75600.329704257,30.69779143,-95.17782748,11351.58,0.26,8.1,0x3a28
75600.331892006,30.69104256,-95.18032419,11005.82,0.58,15.5,0x3e28
75600.342403323,30.69187327,-95.17534394,11993.87,1.13,14.2,0x3f28
75600.343094223,30.69944099,-95.17249923,12069.27,2.88,20.9,0x2e28
75600.343557571,30.70854585,-95.16602549,11290.63,0.22,8.8,0x3e28
75600.347935877,30.68756129,-95.16959824,10630.19,0.71,4.8,0x3e28
75600.348056698,30.69516722,-95.16784555,11248.93,0.06,4.0,0x3e20
75600.351456389,30.69404171,-95.16897465,10909.76,4.41,-0.7,0x3e20
75600.36672767,30.72755457,-95.18187139,10584.14,0.16,6.7,0x3a28
75600.386254952,30.69482026,-95.16260841,11258.25,0.08,6.3,0x3e28
75600.38677283,30.69177803,-95.16355404,10820.28,2.11,5.8,0x3e28
75600.389692607,30.70276638,-95.15964701,11057.33,0.27,6.0,0x3e20
75600.407056277,30.69338603,-95.16086243,10838.07,2.38,10.1,0x3d28
75600.419470811,30.67874586,-95.16214451,10674.85,2.49,9.0,0x3e08
75600.426120534,30.72575677,-95.17962851,11375.34,0.29,5.0,0x3e28
75600.427375988,30.72986795,-95.17931455,11118.31,0.09,6.4,0x3e28
75600.427917599,30.7246282,-95.18023399,11198.97,0.22,9.6,0x3e08
75600.42901375,30.72733901,-95.18158884,11063.36,0.13,5.5,0x3e28
75600.430505854,30.72925126,-95.18154405,11092.58,0.01,13.3,0x3a28
75600.431140094,30.76803432,-95.17990811,10260.92,3.06,8.4,0x3b08
75600.431476792,30.73016634,-95.18138856,11190.17,0.14,17.2,0x3e28
75600.433972485,30.72889651,-95.17954386,11231.84,0.08,20.1,0x3e28
75600.443584404,30.73670636,-95.17717797,11538.81,0.17,6.5,0x3e28
75600.446394017,30.73434467,-95.17782066,11537.61,0.12,13.4,0x3f28
75600.458734676,30.73267067,-95.17529904,11484.52,0.15,18.2,0x3e28
75600.458973095,30.71924085,-95.17381222,11283.03,1.9,6.4,0x3e28
75600.460691869,30.73331214,-95.1706998,11921.43,0.11,9.4,0x3e28
75600.484617609,30.70577448,-95.16906225,10928.21,0.68,7.7,0x3e28
75600.505735634,30.67225175,-95.17375844,10576.93,0.53,7.9,0x3a28
75600.509460486,30.68713445,-95.16211046,12193.76,1.83,7.6,0x2e28
75600.511980897,30.65806692,-95.17278788,11395.55,2.24,9.5,0x3e08
75600.513587098,30.68751591,-95.16579704,11009.21,0.39,11.1,0x1e28
75600.515292249,30.68512388,-95.16659483,11214.32,0.23,7.1,0x3a28
75600.517383145,30.6838034,-95.16629686,11688.25,0.52,7.7,0x3e28
75600.52792078,30.6680422,-95.16768676,11414.9,0.77,6.2,0x3e28
75600.529731045,30.66469215,-95.16912597,11226.51,1.26,12.0,0x3e28
75600.531277923,30.72043499,-95.16204752,10544.16,0.36,3.3,0x1e28
75600.533101475,30.67193609,-95.16693132,11735.0,0.21,16.6,0x3e28
75600.533318781,30.70326109,-95.18605661,9421.49,1.96,-2.3,0x3d28
75600.541135025,30.66741141,-95.17263122,12389.58,0.22,12.5,0x3e28
75600.54261905,30.67120671,-95.16424911,11942.31,0.04,13.5,0x3e28
75600.543821732,30.69785563,-95.1700662,7987.33,0.07,5.4,0x2e28
75600.548823017,30.6700128,-95.16475899,11899.71,0.16,0.2,0x3c28
75600.566951511,30.67402927,-95.15437698,11985.46,0.08,3.3,0x3e28
75600.569442792,30.67959694,-95.15121342,12086.69,1.44,14.1,0x2e28
75600.569824024,30.67137121,-95.15295619,12081.78,0.55,5.8,0x3a28
75600.570501381,30.68727593,-95.1534031,11342.39,1.15,9.3,0x3a28
75600.571727735,30.67660666,-95.15414002,11724.96,1.38,8.3,0x2e28
75600.573909573,30.67929814,-95.15160108,11670.04,3.23,4.3,0x3c28
75600.592584002,30.67537469,-95.12230958,12695.56,0.39,-2.8,0x3c28
75600.593671553,30.6611814,-95.27425846,12385.11,2.4,0.0,0x3c28
75600.594710884,30.67318968,-95.12492685,12988.16,0.5,15.2,0x3f28
75600.596755353,30.67049552,-95.11476939,12978.95,0.51,5.9,0x3e08
75600.596996977,30.67737206,-95.12035133,12433.4,3.28,8.3,0x3d20
75600.598691289,30.6628691,-95.12349512,13326.48,0.93,13.7,0x3e28
75600.60055708,30.67184487,-95.11463589,13435.75,1.46,9.2,0x3e28
75600.601218351,30.61860437,-95.12756082,12934.9,4.53,0.1,0x3f20
75600.604984894,30.67333307,-95.10724865,12820.92,0.29,7.8,0x3e28
75600.607537392,30.69126561,-95.10071149,12391.18,1.2,0.8,0x3c28
75600.616802026,30.67207179,-95.09257722,12703.04,0.13,14.9,0x3e28
75600.624027882,30.671053,-95.09549448,13851.3,1.72,17.5,0x3b28
75600.624382506,30.66395485,-95.0916833,12861.28,0.36,11.4,0x3e28
75600.626684857,30.66937479,-95.09131379,12874.64,0.01,13.1,0x3e28
75600.66592275,30.66726622,-95.08783569,13082.22,1.79,-0.5,0x3c28
75600.683987488,30.72504909,-95.18231372,10817.64,0.08,1.2,0x3628
75600.684356518,30.74267122,-95.17930537,10958.4,1.96,12.8,0x3e28
75600.68465428,30.73251681,-95.17827171,11551.7,0.4,5.0,0x3e28
75600.684961732,30.72936472,-95.17661487,11460.77,0.39,8.4,0x3e28
75600.685074457,30.76882169,-95.17164821,11185.15,3.92,3.5,0x3e20
75600.728112194,30.66412951,-95.08960455,13484.15,0.98,17.0,0x3e28
75600.741000808,30.65954205,-95.09202117,14045.61,2.64,6.5,0x3e28
75600.741520813,30.65328241,-95.09890912,12976.27,0.11,18.5,0x3e28
75600.743566698,30.66141152,-95.09629462,13708.52,3.57,8.6,0x3a28
75600.74409935,30.64571042,-95.09896107,13134.67,2.42,7.4,0x3e20
75600.744290285,30.6515118,-95.1006707,13190.49,0.11,9.2,0x3e08
75600.744472372,30.65065821,-95.10083208,13209.77,0.01,10.3,0x3328
75600.744524614,29.73936416,-95.32060713,14084.73,3.68,-2.5,0x2ea0
75600.746177812,30.65820887,-95.09546284,13138.03,0.19,10.3,0x3e28
75600.746978723,30.65834806,-95.09631439,13084.82,0.01,13.2,0x3e28
75600.74717764,30.65378186,-95.09452813,13082.08,0.55,-1.6,0x3c28
75600.752748504,30.64701752,-95.11435937,12970.91,0.14,-2.4,0x3c28
75600.752904242,30.64427139,-95.11510457,13217.02,0.06,11.5,0x3e28
75600.753085199,30.64151626,-95.11546575,12942.36,0.14,14.2,0x3e08
75600.754388606,30.67936457,-95.10078678,14719.23,3.72,9.9,0x2e28
75600.756613051,30.71261928,-95.14094865,7111.21,0.45,4.9,0x2e28
75600.760731466,30.68723677,-95.12486168,6026.33,0.41,5.8,0x3e28
75600.760957122,30.71784456,-95.14699402,7930.17,0.19,5.4,0x3e28
75600.763619095,30.65336457,-95.11830997,12385.1,2.22,9.9,0x3e08
75600.764235028,30.70158672,-95.14473019,6639.08,0.25,6.0,0x3a28
75600.765423875,30.63633336,-95.12178724,13023.57,0.41,8.0,0x3e28
75600.76862662,30.70664833,-95.17174299,9037.68,0.24,4.9,0x3e28
75600.77379177,30.64063194,-95.12823209,13102.02,1.08,-0.7,0x3c28
75600.776766263,30.64794658,-95.12685255,12371.84,2.3,10.1,0x3e28
75600.783166207,30.65354595,-95.12779186,12527.9,2.09,2.8,0x3c28
75600.784939489,30.63664625,-95.13131356,12096.19,0.85,15.4,0x3e28
75600.785240131,30.64707992,-95.12997653,12558.46,0.82,7.1,0x3e28
75600.78967193,30.66845057,-95.12258992,11721.82,1.44,9.3,0x3b08
75600.789979461,30.64121423,-95.12661481,12585.22,0.18,6.1,0x3e28
75600.79155746,30.63886553,-95.13164418,12640.43,0.63,7.1,0x3e28
75600.791807506,30.62519453,-95.13570644,12213.14,0.84,20.1,0x2e28
75600.792084703,30.63418048,-95.13285146,12693.19,1.34,8.9,0x3e28
75600.792166311,30.64042117,-95.13108695,12230.64,0.66,15.4,0x3e28
75600.793563345,30.7087767,-95.11687602,15132.77,2.63,14.3,0x2e28
75600.797974363,30.64471017,-95.13086603,12642.65,1.74,4.2,0x3e28
75600.799671409,30.66674982,-95.1263702,13664.23,0.02,18.0,0x2e28
75600.803080154,30.63707519,-95.13161018,12619.09,0.01,0.3,0x1f28
75600.804349254,30.63138245,-95.13360218,12572.33,0.23,19.2,0x3e28
75600.807062472,30.63624185,-95.13516111,12649.22,1.31,20.7,0x3b28
75600.872775271,30.66897042,-95.1116961,8790.18,0.21,5.8,0x3e28
75601.187578385,30.66284616,-95.24542691,10936.84,0.32,5.1,0x3e28
75601.203677438,30.65828477,-95.24505409,11982.89,0.13,10.1,0x3e08
75601.207808153,30.66452594,-95.24329604,12821.09,0.06,8.5,0x3e08
75601.221733602,30.66376929,-95.24445741,13667.66,0.12,9.0,0x3e28
75601.22873164,30.66395224,-95.24698628,14510.77,0.06,12.9,0x3e28
75601.23384376,30.66912388,-95.24801967,14537.26,0.35,-0.4,0x3c28
75601.234438169,30.66416011,-95.24598026,14288.54,0.08,12.4,0x3e28
75601.249870202,30.67314683,-95.24323626,14409.4,0.44,18.9,0x3b28
75601.251866157,30.671767,-95.243609,14523.32,0.55,4.0,0x3f20
75601.283844527,30.65929985,-95.2500584,14368.86,0.28,7.6,0x3f28
75601.289714914,30.66027378,-95.25189687,14087.46,0.38,11.9,0x3e28
75601.376882027,30.65819923,-95.24681572,9862.09,0.5,-2.3,0x3c28
75601.385184887,30.66741631,-95.24516139,10971.54,0.1,16.8,0x3e28
75601.39118874,30.66967829,-95.24241097,11195.0,0.23,12.9,0x3e28
75601.396912302,30.67160207,-95.24215542,11169.1,1.68,7.2,0x3f28
75601.409979417,30.67553616,-95.23765952,13464.77,0.33,3.6,0x3c28
75601.41274769,30.65518808,-95.25475448,11127.51,4.87,14.6,0x0f28
75601.419915595,30.68642413,-95.23796697,11623.01,1.28,1.7,0x3c28
75601.422931632,30.69294688,-95.23838957,11700.38,0.4,-1.2,0x3c28
75601.462903555,30.67107994,-95.24055562,11737.11,1.7,0.1,0x3c28
75601.46313897,30.65647094,-95.24476237,13676.5,0.25,6.0,0x3e28
75601.504788616,30.66293895,-95.24824494,14329.25,2.27,8.0,0x3e28
75601.505017431,30.65993423,-95.25047502,13942.5,0.29,1.5,0x3c28
75601.525868215,30.63638345,-95.25033152,14015.44,1.59,9.0,0x3e08
75602.392413372,30.71551929,-95.14890694,10050.65,0.11,15.8,0x3b20
75602.402807045,30.65807535,-95.24831923,8657.71,1.43,6.6,0x3c28
75602.405851891,30.6988035,-95.23964471,10746.07,0.06,11.9,0x2e28
75602.412521634,30.72350689,-95.24021756,11575.16,1.9,3.1,0x1f20
75602.705226747,30.66611529,-95.28515997,13897.05,2.32,9.4,0x2e28
75602.916247655,30.715656,-95.16761097,10525.75,1.26,8.3,0x3a28
75602.955370321,30.7151442,-95.1625479,10833.3,0.26,1.0,0x3e28
75602.95813412,30.71793367,-95.16061621,10940.94,0.07,-2.1,0x3c28
75602.958848606,30.7154662,-95.16272167,10918.66,0.18,9.5,0x3e08
75602.961245959,30.71732898,-95.15941183,11073.03,1.27,-0.5,0x3c28
75602.963436687,30.71227398,-95.16064866,10330.37,0.87,11.8,0x3e28
75602.968603502,30.71908696,-95.15723279,11029.71,0.59,6.4,0x2e28
75602.969152494,30.71468886,-95.15652246,10941.94,0.75,15.2,0x3e28
75602.989187804,30.72880566,-95.16063829,10651.94,0.02,6.5,0x2e28
75602.989597039,30.72074511,-95.15774898,11060.85,0.08,7.5,0x1e28
75603.011439081,30.71730502,-95.15942855,10800.05,0.17,15.2,0x2e28
75603.019506359,30.75839831,-95.15094355,9947.32,3.11,6.9,0x3a28
75603.03646111,30.68208022,-95.16422699,10717.51,1.8,5.1,0x2e28
75603.037590479,30.71155375,-95.16043672,11069.0,0.29,10.8,0x3e28
75603.042282825,30.71537901,-95.15596108,11293.19,0.14,11.3,0x3e28
75603.043105114,30.71044998,-95.16351109,7922.79,1.23,9.7,0x3d28
75603.045500339,30.71200834,-95.1599156,11099.66,0.03,11.3,0x3e28
75603.045885266,30.70958567,-95.1600955,11338.64,0.35,4.9,0x3e08
75603.047557069,30.69964148,-95.16476736,10296.56,3.01,7.4,0x3e08
75603.047722545,30.71400305,-95.16172617,10647.09,1.24,14.4,0x3fa8
75603.056779197,30.71066297,-95.1618637,11051.09,0.4,16.5,0x3f28
75603.059307891,30.71376219,-95.16079552,11101.92,0.03,16.3,0x3ea8
75603.066070253,30.70684964,-95.16107992,11345.62,0.54,14.6,0x3f28
75603.069324446,30.70633942,-95.16221077,11269.41,0.01,1.8,0x3e20
75603.070325342,30.71088012,-95.15927437,10931.22,0.95,16.5,0x3f28
75603.071662632,30.70574009,-95.16299565,10736.01,3.91,15.6,0x3f08
75603.118685551,30.72698404,-95.15188,14138.43,3.71,19.7,0x3b28
75603.11888281,30.70991951,-95.16353441,11697.01,0.57,10.3,0x3328
75603.126358663,30.70143937,-95.16863981,11742.93,0.14,9.3,0x3e28
75603.130856608,30.69576785,-95.16985324,11839.6,1.56,15.1,0x3e28
75603.131125983,30.69939029,-95.16948817,11092.23,1.21,11.2,0x3e28
75603.132478489,30.664028,-95.17141871,10096.57,1.24,10.6,0x3e08
75603.133593609,30.70371942,-95.16991241,11709.34,0.04,14.6,0x2f28
75603.133706824,30.71012682,-95.1653144,10929.02,4.52,10.5,0x3b20
75603.134078512,30.70659865,-95.16952165,11751.13,0.06,-0.1,0x3e20
75603.134485768,30.71658335,-95.16911034,9822.48,0.12,6.9,0x3e28
75603.137720237,30.72683258,-95.16568371,11341.67,1.0,12.5,0x3a28
75603.137849522,30.68718291,-95.1711783,11157.9,4.24,12.5,0x3e08
75603.141777083,30.70737551,-95.17021929,11679.78,0.11,10.2,0x3e08
75603.14240209,30.70570627,-95.17468859,11430.49,0.16,7.3,0x3e28
75603.174015409,30.71613252,-95.15765985,10962.79,0.22,7.6,0x2e28
75603.193043493,30.72463205,-95.15019965,11068.89,0.17,5.5,0x3e28
75603.193112341,30.72757702,-95.15041057,10855.85,0.0,9.9,0x3a28
75603.193471048,30.72590688,-95.15349292,11114.21,0.11,11.8,0x3e28
75603.194615913,30.73358325,-95.14816766,10807.92,0.04,13.1,0x3a28
75603.195287357,30.7156386,-95.16524267,9332.17,0.24,8.8,0x3e28
75603.195784113,30.71860694,-95.15615577,9900.12,2.78,6.4,0x2ea8
75603.202040279,30.70717798,-95.14243627,11499.39,1.9,5.4,0x3e08
75603.202705086,30.72291441,-95.14650157,11070.79,0.3,5.5,0x3e28
75603.205830132,30.71489637,-95.1443025,11573.91,0.8,3.1,0x3e20
75603.208740713,30.72313435,-95.13986292,11104.31,0.24,9.1,0x3e08
75603.212566419,30.74037916,-95.13743731,9840.6,3.11,7.1,0x3a28
75603.220921439,30.72390671,-95.1345309,11117.06,0.12,4.5,0x3e28
75603.228697203,30.70698075,-95.13624593,10271.01,0.6,4.3,0x3c28
75603.22889098,30.72105997,-95.12931128,11552.97,0.03,9.9,0x3e28
75603.229304948,30.71652669,-95.13177252,11425.32,0.26,8.9,0x3e28
75603.229543727,30.69069946,-95.13253412,12749.79,4.14,14.1,0x3a28
75603.243523516,30.70798182,-95.12897607,10813.89,1.32,16.6,0x3e28
75603.243842934,30.70799924,-95.12709848,11443.4,0.01,4.5,0x3e28
75603.245026889,30.71235866,-95.12921219,11107.98,1.05,13.6,0x3f28
75603.321730332,30.76227208,-95.23783114,10564.84,0.61,9.8,0x2e28
75603.324069348,30.70562328,-95.12966784,11263.18,0.35,11.3,0x3b20
75603.324125203,30.73468985,-95.1336628,11570.84,0.72,-0.9,0x3c28
75603.328830356,30.7042958,-95.12600059,11944.7,0.06,10.9,0x3f28
75603.329491708,30.68859604,-95.13902841,8829.3,3.65,7.3,0x3e28
75603.335048519,30.69737122,-95.1266793,12068.01,0.14,13.2,0x3e28
75603.335914659,30.73674015,-95.13662921,9673.45,3.14,20.2,0x3f08
75603.336035714,30.7387319,-95.12321401,7803.29,1.04,10.3,0x3a28
75603.337183652,30.69533661,-95.12416214,13293.7,0.06,0.4,0x3c28
75603.387792679,30.70535443,-95.11892987,12689.31,0.15,8.6,0x3a28
75603.421942165,30.69178832,-95.12822626,11869.46,0.13,1.8,0x3628
75603.497041686,30.68136532,-95.1253114,12224.41,3.69,6.0,0x1e28
75603.497203899,30.70369485,-95.1232004,12316.83,0.28,10.8,0x3e28
75603.497302486,30.67784769,-95.1259354,12017.58,1.05,15.7,0x2e28
75603.497634274,30.71613114,-95.16838469,9602.32,0.14,13.2,0x3e28
75603.49780504,30.72275806,-95.12141335,11546.23,2.58,5.8,0x3a28
75603.498110196,30.69017984,-95.12712586,7591.46,0.01,1.5,0x3c28
75603.510269651,30.68746804,-95.11135246,12462.68,1.15,12.9,0x2e28
75603.513102409,30.70112313,-95.10951482,12680.37,0.12,9.3,0x3e28
75603.515073268,30.78070879,-95.10319696,6064.94,0.76,10.6,0x3a28
75603.515339569,30.69829062,-95.10807088,12614.88,0.15,6.4,0x3e28
75603.518998236,30.70447132,-95.10325155,13483.09,0.21,6.4,0x3e28
75603.56760403,30.72452877,-95.11085487,9345.73,0.22,6.5,0x2e28
75603.591929279,30.71258742,-95.10278464,13771.99,0.23,19.2,0x3e28
75603.618577811,30.81108939,-95.22349327,9589.2,0.33,2.6,0x3628
75603.627250646,30.71402329,-95.25047524,8537.13,2.66,15.0,0x3e08
75603.627797146,30.70391402,-95.24781165,9493.83,0.34,8.4,0x3e28
75603.628832109,30.71809056,-95.24388177,9236.51,0.1,-1.1,0x3c28
75603.635577889,30.68909307,-95.24589607,10521.3,4.72,10.6,0x3e28
75603.635686227,30.70751215,-95.24289192,9699.85,0.09,8.7,0x3e28
75603.641774717,30.70492951,-95.1041729,13504.05,0.08,9.7,0x3f28
75603.642638821,30.7061237,-95.23933994,9649.75,0.07,7.4,0x3a28
75603.642718553,30.70497174,-95.24037302,11095.18,1.02,13.1,0x3e28
75603.647446753,30.69222451,-95.23961038,9787.55,0.43,7.2,0x3a28
